	antennas	IF	DRArr	DLArr
0	BR	1	(-0.002712786413841396+0.019980702473636987j)	(0.025177971294071823-0.005852743538951169j)
1	FD	1	(0.03105298665595231-0.011734039799975228j)	(-0.028616255315388146-0.012291037430826475j)
2	HN	1	(0.017113238741980574-0.008797539040456518j)	(-0.06706073893841849+0.00016132494375243j)
3	KP	1	(0.03728869400919097+0.01290406891241243j)	(-0.007408679804273653+0.04117873993912124j)
4	LA	1	(0.04310345077997951-0.013421510490399316j)	(-0.03735718827845663-0.04920121135928745j)
5	MK	1	(-0.007140469014084379-0.012134308556243947j)	(-0.02493320707372253+0.005491298957930138j)
6	NL	1	(0.05343010004758946-0.0077502892016901945j)	(-0.038957767806740824-0.055877023362168855j)
7	OV	1	(0.024597780748387216-0.052924625119293404j)	(-0.008855771934579535+0.0016215472705728795j)
8	PT	1	(0.036672214436065574-0.005418048160338555j)	(-0.09721719910906666-0.004655469905089651j)
9	SC	1	(0.028815058525503902+0.03263176881185638j)	(-0.010868373861902533+0.03520338023490445j)
